idx,instance_key,H_prime,V_prime,source
0,b153ad3375f960988e425b2f019a9a91,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;1;6;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_000.json
1,a47176887b612cf5ceec18783ba0ab68,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;1;6;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_001.json
2,ea962b4b6feec4e8f3fccdcd29cd861a,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;1;6;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;8;7;2;4;0;12;0;7;9,graphs/n12/misr_filtered_002.json
3,5f4c765f672a54fceb24f19c3e260f4a,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;1;6;11;12;0;1;3;10;10;3;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_003.json
4,8d0d3008716d3bf56b0700731f645d4d,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;5;6;11;12;0;5;10;3;3;10;4;9;0;6;11;1;1;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_004.json
5,d8f83528180e3aa04e40afd4d70e71b5,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;1;11;6;12;0;1;10;3;3;10;4;9;0;11;6;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_005.json
6,53e7dbdb069e56306ffea050bbbb8644,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;1;6;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;4;12;0;7;9,graphs/n12/misr_filtered_006.json
7,1f2110aa8c964d656e6b131ba2f3560e,1;2;0;3;4;5;6;1;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;4;7;5;10,8;4;6;11;12;0;4;10;3;3;10;1;9;0;6;11;5;5;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_007.json
8,380ca41ebe61e60da1fba02a04fb5eec,1;2;3;4;5;6;7;5;7;8;9;9;2;10;11;4;12;0;10;12;0;13;13;1;8;6;11;3,9;3;7;12;13;0;3;11;4;4;11;5;10;1;7;12;6;6;2;9;1;8;2;5;0;13;8;10,graphs/n12/misr_filtered_008.json
9,2e50fd16eb3dffa6e478d9961c54cca3,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;1;6;11;0;12;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_009.json
10,4dc4a087adce59989ba6bfa9bd8aa01c,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;1;6;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;0;8;7;2;4;0;12;7;9,graphs/n12/misr_filtered_010.json
11,bbdb8a4f47073773b8241a38e21cdaf8,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;1;6;11;12;0;1;10;3;10;3;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_011.json
12,aa6c31a3b57bcfa8928119d58cdd1c04,1;2;3;4;5;0;6;4;6;7;8;2;8;9;10;5;11;0;9;11;0;12;12;1;7;3;10,8;1;6;11;12;0;1;10;5;5;10;4;9;0;6;11;3;3;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_012.json
13,bad6cfa616bf6c56a89843316e8267bd,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;3;11;0;9;11;0;12;12;1;7;5;0;10,8;1;6;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_013.json
14,d73f620aa897d06a0b17924c3f9125b8,1;2;3;4;5;6;7;5;7;8;9;4;9;10;11;2;12;0;10;12;0;13;13;1;8;6;11;3,9;1;7;12;13;0;1;11;2;2;11;5;10;3;7;12;6;6;4;9;3;8;4;5;0;13;8;10,graphs/n12/misr_filtered_014.json
15,06a7cf548d068ad141b6d577c70a70ea,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;11;1;6;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_015.json
16,8520be8a23a8800fa2a457c77cd58eb1,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;1;6;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;0;4;12;7;9,graphs/n12/misr_filtered_016.json
17,86487c963d7ba25585ac8bf9b11d8a5b,1;2;0;3;4;5;6;5;6;7;8;2;8;9;10;3;11;0;9;11;0;12;12;1;7;4;10,8;1;5;11;12;0;1;10;3;3;10;6;9;0;5;11;4;4;2;8;0;7;2;6;0;12;7;9,graphs/n12/misr_filtered_017.json
18,160d0679cdbd3cd0f6b747f84fe59f66,1;2;0;3;4;5;6;4;6;7;8;2;8;9;3;10;11;0;11;10;0;12;12;1;7;5;9,8;1;6;10;12;0;1;9;3;3;9;4;11;0;6;10;5;5;2;8;0;7;2;4;0;12;7;11,graphs/n12/misr_filtered_018.json
19,a2bce67150b01a430fc77a9eda6b82e7,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;1;6;11;12;0;1;10;3;3;10;4;9;6;11;5;5;2;8;0;7;2;0;4;0;12;7;9,graphs/n12/misr_filtered_019.json
20,e774a4beb9bea9300ba83b5877c13c2e,1;2;3;4;5;6;7;5;7;8;9;3;9;10;11;1;12;0;10;12;0;13;13;4;8;6;11;2,9;4;7;12;13;0;4;11;1;1;11;5;10;2;7;12;6;6;3;9;2;8;3;5;0;13;8;10,graphs/n12/misr_filtered_020.json
21,9f9144f3160b7ae37fb48d60b560ba24,1;2;0;3;4;5;6;4;6;7;8;2;8;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;1;6;11;12;0;1;3;10;10;3;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_021.json
22,034a6e8ac144df832b88642864bf627e,1;2;0;3;4;5;6;4;6;7;8;2;8;0;9;3;10;11;0;10;11;12;12;1;7;5;9,8;1;6;10;12;0;1;9;3;3;9;4;11;0;6;10;5;5;2;8;0;7;2;4;0;12;7;11,graphs/n12/misr_filtered_022.json
23,b153ad3375f960988e425b2f019a9a91,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;1;6;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_023.json
24,10b1470f6bdc6bfaba6a79f38e054e9c,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;6;1;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_024.json
25,673c99f2d683912939ed71640e1a84c7,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;0;11;9;12;12;1;7;5;10,8;1;6;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_025.json
26,3761754166bba676f8a9f8e927cbe5db,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;0;10;5,8;1;6;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_026.json
27,456579a837dcd402aa59d9ff0e8c199a,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;0;11;9;0;11;12;12;1;7;5;10,8;1;6;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_027.json
28,1f2110aa8c964d656e6b131ba2f3560e,1;2;0;3;4;5;6;1;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;4;7;5;10,8;4;6;11;12;0;4;10;3;3;10;1;9;0;6;11;5;5;2;8;0;7;2;1;0;12;7;9,graphs/n12/misr_filtered_028.json
29,5cbe45c4679d894a6cdbfae7200bf2b7,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;1;6;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;7;0;12;4;9,graphs/n12/misr_filtered_029.json
30,86a6bdd2096b7d9140a91d7610ce5423,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;1;6;11;12;0;1;10;3;3;10;4;6;0;9;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_030.json
31,dfd35b8139b1c5c5aaf755dad92aa1fd,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;1;6;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;8;7;0;2;4;0;12;7;9,graphs/n12/misr_filtered_031.json
32,1bf390b2cb9560bc671532b015fc269d,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;1;6;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;7;12;0;4;9,graphs/n12/misr_filtered_032.json
33,e55367a746db176f7c5c083238792555,1;2;0;3;4;5;6;4;6;7;8;8;2;0;9;3;10;11;0;10;11;12;12;1;7;5;9,8;1;6;10;12;0;1;9;3;3;9;4;11;0;6;10;5;5;2;8;0;7;2;4;0;12;7;11,graphs/n12/misr_filtered_033.json
34,bf08c526f479dde678743041e3ac8cf3,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;0;11;12;12;1;7;5;10,8;1;6;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_034.json
35,f95ba2ceb0f1be418fd155f62f32ff96,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;1;4;11;12;0;1;10;3;3;10;6;9;0;4;11;5;5;2;8;0;7;2;6;0;12;7;9,graphs/n12/misr_filtered_035.json
36,c71d48bb54047d2e6cc7812ca54e0f05,1;2;3;4;0;5;6;0;3;6;7;8;8;2;9;10;4;11;0;9;11;0;12;12;1;7;5;10,8;1;6;11;12;0;1;10;4;4;10;0;9;3;6;11;5;5;2;8;3;7;2;0;0;12;7;9,graphs/n12/misr_filtered_036.json
37,551dc05a9039d29e2a9895a99aad5681,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;11;9;0;12;12;1;7;5;10,8;1;6;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;4;0;12;7;9,graphs/n12/misr_filtered_037.json
38,d3a70bd47051fb0fb03659cb44638b19,1;2;0;3;4;5;6;6;4;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;1;4;11;12;0;1;10;3;3;10;6;9;0;4;11;5;5;2;8;0;7;2;6;0;12;7;9,graphs/n12/misr_filtered_038.json
39,282c5f2a73c2f4977f3a15b50d3d2470,1;2;0;3;4;5;6;4;6;7;8;8;1;9;10;3;11;0;9;11;0;12;12;2;7;5;10,8;2;6;11;12;0;2;10;3;3;10;4;9;0;6;11;5;5;1;8;0;7;1;4;0;12;7;9,graphs/n12/misr_filtered_039.json
40,49d6e79e8c6a41a7fc0b2e6fdd16e7bb,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;0;9;11;0;12;12;1;7;5;10,8;6;1;11;12;0;1;10;3;3;10;4;9;0;6;11;5;5;2;0;8;7;2;4;0;12;7;9,graphs/n12/misr_filtered_040.json
41,f77505ee0ef8ece4ede6525436d6467d,1;2;0;3;4;5;6;4;6;7;8;8;2;9;10;3;11;9;11;12;0;0;1;7;5;12;10,8;6;1;11;0;12;1;10;3;3;10;4;9;0;6;11;5;5;2;8;0;7;2;4;12;0;7;9,graphs/n12/misr_filtered_041.json
42,fd8632443663758550dc87c0581cb079,1;2;0;3;4;5;6;3;6;7;8;8;2;9;10;5;11;0;9;11;0;12;12;1;7;4;10,8;6;1;11;12;0;1;10;5;5;10;3;9;0;6;11;4;4;2;8;0;7;2;3;0;12;7;9,graphs/n12/misr_filtered_042.json
