idx,instance_key,kept_count,total,kept_ids,removed_ids,lp,ilp,ratio
0,b153ad3375f960988e425b2f019a9a91,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
1,a47176887b612cf5ceec18783ba0ab68,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
2,ea962b4b6feec4e8f3fccdcd29cd861a,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
3,5f4c765f672a54fceb24f19c3e260f4a,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
4,8d0d3008716d3bf56b0700731f645d4d,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
5,d8f83528180e3aa04e40afd4d70e71b5,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
6,53e7dbdb069e56306ffea050bbbb8644,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
7,1f2110aa8c964d656e6b131ba2f3560e,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
8,380ca41ebe61e60da1fba02a04fb5eec,13,14,1;2;3;4;5;6;7;8;9;10;11;12;14,13,6.000000,4.000000,1.500000
9,2e50fd16eb3dffa6e478d9961c54cca3,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
10,4dc4a087adce59989ba6bfa9bd8aa01c,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
11,bbdb8a4f47073773b8241a38e21cdaf8,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
12,aa6c31a3b57bcfa8928119d58cdd1c04,12,14,1;2;3;4;5;7;8;9;10;11;12;14,6;13,6.000000,4.000000,1.500000
13,bad6cfa616bf6c56a89843316e8267bd,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
14,d73f620aa897d06a0b17924c3f9125b8,13,14,1;2;3;4;5;6;7;8;9;10;11;12;14,13,6.000000,4.000000,1.500000
15,06a7cf548d068ad141b6d577c70a70ea,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
16,8520be8a23a8800fa2a457c77cd58eb1,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
17,86487c963d7ba25585ac8bf9b11d8a5b,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
18,160d0679cdbd3cd0f6b747f84fe59f66,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
19,a2bce67150b01a430fc77a9eda6b82e7,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
20,e774a4beb9bea9300ba83b5877c13c2e,13,14,1;2;3;4;5;6;7;8;9;10;11;12;14,13,6.000000,4.000000,1.500000
21,9f9144f3160b7ae37fb48d60b560ba24,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
22,034a6e8ac144df832b88642864bf627e,12,14,1;2;4;5;6;7;8;9;11;12;13;14,3;10,6.000000,4.000000,1.500000
23,b153ad3375f960988e425b2f019a9a91,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
24,10b1470f6bdc6bfaba6a79f38e054e9c,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
25,673c99f2d683912939ed71640e1a84c7,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
26,3761754166bba676f8a9f8e927cbe5db,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
27,456579a837dcd402aa59d9ff0e8c199a,12,14,1;2;4;5;6;7;8;9;10;11;13;14,3;12,6.000000,4.000000,1.500000
28,1f2110aa8c964d656e6b131ba2f3560e,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
29,5cbe45c4679d894a6cdbfae7200bf2b7,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
30,86a6bdd2096b7d9140a91d7610ce5423,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
31,dfd35b8139b1c5c5aaf755dad92aa1fd,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
32,1bf390b2cb9560bc671532b015fc269d,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
33,e55367a746db176f7c5c083238792555,12,14,1;2;4;5;6;7;8;9;11;12;13;14,3;10,6.000000,4.000000,1.500000
34,bf08c526f479dde678743041e3ac8cf3,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
