gx,gy,rect_ids
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,18,2
1,19,2
1,20,2
1,21,2
1,22,2
2,2,1
2,3,1
2,4,1
2,5,1
2,6,1
2,13,3
2,14,3
2,15,3
2,16,3
2,17,3
2,18,2;3
2,19,2;3
2,20,2
2,21,2
2,22,2
3,2,1
3,3,1
3,4,1
3,5,1
3,6,1
3,8,4
3,9,4
3,13,3
3,14,3
3,15,3
3,16,3
3,17,3
3,18,2;3
3,19,2;3
3,20,2
3,21,2
3,22,2
4,2,1
4,3,1
4,4,1
4,5,1
4,6,1
4,8,4
4,9,4
4,11,5
4,12,5
4,13,3;5
4,14,3;5
4,15,3;5
4,16,3;5
4,17,3;5
4,18,2;3;5
4,19,2;3;5
4,20,2;5
4,21,2;5
4,22,2;5
4,23,5
5,2,1
5,3,1
5,4,1
5,5,1
5,6,1
5,8,4
5,9,4
5,11,5
5,12,5
5,13,3;5
5,14,3;5
5,15,3;5
5,16,3;5;6
5,17,3;5;6
5,18,2;3;5
5,19,2;3;5
5,20,2;5
5,21,2;5
5,22,2;5
5,23,5
6,1,7
6,2,1;7
6,3,1;7
6,4,1;7
6,5,1;7
6,6,1;7
6,7,7
6,8,4;7
6,9,4;7
6,10,7
6,11,5;7
6,12,5;7
6,13,3;5;7
6,14,3;5;7
6,15,3;5
6,16,3;5;6
6,17,3;5;6
6,18,2;3;5
6,19,2;3;5
6,20,2;5
6,21,2;5
6,22,2;5
6,23,5
7,1,7
7,2,1;7
7,3,1;7
7,4,1;7
7,5,1;7;8
7,6,1;7;8
7,7,7;8
7,8,4;7;8
7,9,4;7;8
7,10,7;8
7,11,5;7;8
7,12,5;7;8
7,13,3;5;7;8
7,14,3;5;7;8
7,15,3;5;8
7,16,3;5;6;8
7,17,3;5;6;8
7,18,2;3;5;8
7,19,2;3;5;8
7,20,2;5;8
7,21,2;5;8
7,22,2;5;8
7,23,5;8
7,24,8
8,1,7
8,2,1;7
8,3,1;7
8,4,1;7
8,5,1;7;8
8,6,1;7;8
8,7,7;8
8,8,4;7;8
8,9,4;7;8
8,10,7;8
8,11,5;7;8
8,12,5;7;8
8,13,3;5;7;8
8,14,3;5;7;8
8,15,3;5;8
8,16,3;5;6;8
8,17,3;5;6;8
8,18,2;3;5;8
8,19,2;3;5;8
8,20,2;5;8
8,21,2;5;8
8,22,2;5;8
8,23,5;8
8,24,8
9,1,7
9,2,1;7
9,3,1;7
9,4,1;7
9,5,1;7;8
9,6,1;7;8
9,7,7;8
9,8,4;7;8
9,9,4;7;8
9,10,7;8
9,11,7;8
9,12,7;8
9,13,3;7;8
9,14,3;7;8
9,15,3;8
9,16,3;6;8
9,17,3;6;8
9,18,2;3;8
9,19,2;3;8
9,20,2;8
9,21,2;8
9,22,2;8
9,23,8
9,24,8
10,2,1
10,3,1
10,4,1
10,5,1;8
10,6,1;8
10,7,8
10,8,4;8
10,9,4;8
10,10,8
10,11,8
10,12,8
10,13,3;8
10,14,3;8
10,15,3;8
10,16,3;6;8
10,17,3;6;8
10,18,2;3;8
10,19,2;3;8
10,20,2;8
10,21,2;8;9
10,22,2;8;9
10,23,8;9
10,24,8;9
10,25,9
10,26,9
11,0,10
11,1,10
11,2,1;10
11,3,1;10
11,4,1;10
11,5,1;8;10
11,6,1;8;10
11,7,8;10
11,8,4;8;10
11,9,4;8;10
11,10,8;10
11,11,8;10
11,12,8;10
11,13,3;8;10
11,14,3;8;10
11,15,3;8;10
11,16,3;6;8;10
11,17,3;6;8;10
11,18,2;3;8;10
11,19,2;3;8;10
11,20,2;8;10
11,21,2;8;9
11,22,2;8;9
11,23,8;9
11,24,8;9
11,25,9
11,26,9
12,0,10
12,1,10
12,2,1;10
12,3,1;10
12,4,1;10
12,5,1;8;10
12,6,1;8;10
12,7,8;10
12,8,4;8;10
12,9,4;8;10
12,10,8;10
12,11,8;10
12,12,8;10
12,13,3;8;10
12,14,3;8;10
12,15,3;8;10
12,16,3;6;8;10
12,17,3;6;8;10
12,18,2;3;8;10
12,19,2;3;8;10
12,20,2;8;10
12,21,2;8;9
12,22,2;8;9
12,23,8;9
12,24,8;9
12,25,9
12,26,9
13,2,1
13,3,1
13,4,1
13,5,1;8
13,6,1;8
13,7,8
13,8,4;8
13,9,4;8
13,10,8
13,11,8
13,12,8
13,13,3;8
13,14,3;8
13,15,3;8
13,16,3;6;8
13,17,3;6;8
13,18,2;3;8
13,19,2;3;8
13,20,2;8
13,21,2;8;9
13,22,2;8;9
13,23,8;9
13,24,8;9
13,25,9
13,26,9
14,2,1
14,3,1
14,4,1
14,5,1;8
14,6,1;8
14,7,8
14,8,4;8
14,9,4;8
14,10,8
14,11,8
14,12,8;11
14,13,3;8;11
14,14,3;8;11
14,15,3;8;11
14,16,3;6;8;11
14,17,3;6;8;11
14,18,3;8;11
14,19,3;8;11
14,20,8;11
14,21,8;9;11
14,22,8;9;11
14,23,8;9;11
14,24,8;9;11
14,25,9;11
14,26,9;11
14,27,11
15,2,1
15,3,1
15,4,1
15,5,1;8
15,6,1;8
15,7,8;12
15,8,4;8;12
15,9,4;8;12
15,10,8;12
15,11,8
15,12,8;11
15,13,3;8;11
15,14,3;8;11
15,15,3;8;11
15,16,3;6;8;11
15,17,3;6;8;11
15,18,3;8;11
15,19,3;8;11
15,20,8;11
15,21,8;9;11
15,22,8;9;11
15,23,8;9;11
15,24,8;9;11
15,25,9;11
15,26,9;11
15,27,11
16,2,1
16,3,1
16,4,1
16,5,1;8
16,6,1;8
16,7,8;12
16,8,4;8;12
16,9,4;8;12
16,10,8;12
16,11,8
16,12,8;11
16,13,3;8;11
16,14,3;8;11
16,15,3;8;11
16,16,3;6;8;11
16,17,3;6;8;11
16,18,3;8;11
16,19,3;8;11
16,20,8;11
16,21,8;9;11
16,22,8;9;11
16,23,8;9;11
16,24,8;9;11
16,25,9;11
16,26,9;11
16,27,11
17,2,1
17,3,1;13
17,4,1;13
17,5,1;8;13
17,6,1;8;13
17,7,8;12;13
17,8,8;12;13
17,9,8;12;13
17,10,8;12;13
17,11,8;13
17,12,8;11;13
17,13,3;8;11;13
17,14,3;8;11;13
17,15,3;8;11;13
17,16,3;6;8;11
17,17,3;6;8;11
