u,v,kind,ox,oy,x_rel,y_rel
1,3,proper,35.0,5.0,contains,inside
1,5,proper,12.0,5.0,contains,inside
1,9,proper,30.0,2.0,contains,overlap
1,15,proper,11.0,5.0,contains,inside
1,16,proper,5.0,4.0,contains,overlap
1,17,proper,15.0,5.0,contains,inside
1,19,proper,10.0,1.0,contains,overlap
1,20,proper,16.0,5.0,contains,inside
1,22,proper,11.0,5.0,contains,inside
1,24,proper,2.0,3.0,overlap,overlap
2,3,proper,30.0,15.0,overlap,inside
2,4,proper,10.0,12.0,contains,overlap
2,6,proper,27.0,1.0,overlap,contains
2,7,proper,26.0,15.0,overlap,inside
2,8,proper,25.0,15.0,overlap,inside
2,10,proper,20.0,3.0,contains,overlap
2,11,proper,22.0,3.0,overlap,contains
2,12,proper,12.0,13.0,contains,overlap
2,16,proper,5.0,10.0,contains,overlap
2,17,proper,13.0,9.0,overlap,overlap
2,18,proper,4.0,15.0,contains,inside
2,19,proper,10.0,11.0,contains,overlap
2,20,proper,7.0,2.0,overlap,overlap
2,21,proper,5.0,3.0,overlap,contains
2,23,proper,2.0,14.0,overlap,overlap
3,4,proper,10.0,25.0,contains,contains
3,5,proper,12.0,12.0,contains,overlap
3,6,proper,30.0,1.0,contains,contains
3,7,proper,31.0,31.0,overlap,contains
3,8,proper,29.0,21.0,contains,overlap
3,9,proper,29.0,11.0,overlap,contains
3,10,proper,20.0,8.0,contains,contains
3,11,proper,27.0,3.0,overlap,contains
3,12,proper,12.0,17.0,contains,contains
3,13,proper,6.0,9.0,contains,contains
3,14,proper,23.0,1.0,overlap,contains
3,15,proper,11.0,12.0,contains,contains
3,16,proper,5.0,30.0,contains,contains
3,17,proper,15.0,33.0,contains,overlap
3,18,proper,4.0,29.0,contains,contains
3,19,proper,10.0,28.0,contains,contains
3,20,proper,12.0,25.0,overlap,contains
3,21,proper,10.0,3.0,overlap,contains
3,22,proper,9.0,23.0,overlap,overlap
3,23,proper,3.0,17.0,contains,contains
4,5,proper,9.0,1.0,overlap,overlap
4,6,proper,8.0,1.0,overlap,contains
4,7,proper,7.0,25.0,overlap,inside
4,8,proper,6.0,14.0,overlap,overlap
4,9,proper,5.0,6.0,overlap,overlap
4,10,proper,4.0,8.0,overlap,contains
4,11,proper,3.0,3.0,overlap,contains
4,12,proper,2.0,16.0,overlap,overlap
4,13,proper,1.0,7.0,overlap,overlap
5,7,proper,10.0,2.0,overlap,overlap
5,9,proper,8.0,6.0,overlap,overlap
5,13,proper,4.0,3.0,overlap,overlap
5,15,proper,1.0,10.0,overlap,overlap
6,7,proper,29.0,1.0,overlap,inside
6,8,proper,28.0,1.0,overlap,inside
6,11,proper,25.0,1.0,overlap,inside
6,12,proper,12.0,1.0,contains,inside
6,16,proper,5.0,1.0,contains,inside
6,17,proper,15.0,1.0,contains,inside
6,18,proper,4.0,1.0,contains,inside
6,19,proper,10.0,1.0,contains,inside
6,23,proper,3.0,1.0,contains,inside
7,8,proper,29.0,19.0,contains,overlap
7,9,proper,30.0,7.0,contains,overlap
7,10,proper,20.0,8.0,contains,contains
7,11,proper,35.0,3.0,overlap,contains
7,12,proper,12.0,17.0,contains,contains
7,13,proper,6.0,8.0,contains,overlap
7,14,proper,30.0,1.0,contains,contains
7,15,proper,11.0,4.0,contains,overlap
7,16,proper,5.0,24.0,contains,overlap
7,17,proper,15.0,23.0,contains,overlap
7,18,proper,4.0,28.0,contains,overlap
7,19,proper,10.0,25.0,contains,overlap
7,20,proper,16.0,16.0,contains,overlap
7,21,proper,16.0,3.0,contains,contains
7,22,proper,11.0,13.0,contains,overlap
7,23,proper,3.0,17.0,contains,contains
7,24,proper,5.0,30.0,overlap,overlap
8,10,proper,20.0,5.0,contains,overlap
8,11,proper,26.0,3.0,overlap,contains
8,12,proper,12.0,15.0,contains,overlap
8,16,proper,5.0,12.0,contains,overlap
8,17,proper,15.0,11.0,contains,overlap
8,18,proper,4.0,20.0,contains,overlap
8,19,proper,10.0,13.0,contains,overlap
8,20,proper,11.0,4.0,overlap,overlap
8,21,proper,9.0,3.0,overlap,contains
8,22,proper,8.0,1.0,overlap,overlap
8,23,proper,3.0,16.0,contains,overlap
9,13,proper,6.0,8.0,contains,overlap
9,14,proper,24.0,1.0,overlap,contains
9,15,proper,11.0,8.0,contains,overlap
9,16,proper,5.0,11.0,contains,inside
9,17,proper,15.0,11.0,contains,inside
9,18,proper,4.0,4.0,contains,overlap
9,19,proper,10.0,10.0,contains,overlap
9,20,proper,13.0,11.0,overlap,inside
9,22,proper,10.0,11.0,overlap,inside
10,12,proper,12.0,7.0,contains,overlap
10,16,proper,5.0,8.0,contains,inside
10,17,proper,10.0,8.0,overlap,inside
10,18,proper,4.0,8.0,contains,inside
