idx,instance_key,n,issues_count,mis_exact,mis_lp_relax,lp_over_int_gap,source
0,b153ad3375f960988e425b2f019a9a91,12,0,4,4.0,1.0,graphs/n12/misr_filtered_000.json
1,a47176887b612cf5ceec18783ba0ab68,12,0,4,4.0,1.0,graphs/n12/misr_filtered_001.json
2,ea962b4b6feec4e8f3fccdcd29cd861a,12,0,4,4.0,1.0,graphs/n12/misr_filtered_002.json
3,5f4c765f672a54fceb24f19c3e260f4a,12,0,4,4.0,1.0,graphs/n12/misr_filtered_003.json
4,8d0d3008716d3bf56b0700731f645d4d,12,0,4,4.0,1.0,graphs/n12/misr_filtered_004.json
5,d8f83528180e3aa04e40afd4d70e71b5,12,0,4,4.0,1.0,graphs/n12/misr_filtered_005.json
6,53e7dbdb069e56306ffea050bbbb8644,12,0,4,4.0,1.0,graphs/n12/misr_filtered_006.json
7,1f2110aa8c964d656e6b131ba2f3560e,12,0,4,4.0,1.0,graphs/n12/misr_filtered_007.json
9,2e50fd16eb3dffa6e478d9961c54cca3,12,0,4,4.0,1.0,graphs/n12/misr_filtered_009.json
10,4dc4a087adce59989ba6bfa9bd8aa01c,12,0,4,4.0,1.0,graphs/n12/misr_filtered_010.json
11,bbdb8a4f47073773b8241a38e21cdaf8,12,0,4,4.0,1.0,graphs/n12/misr_filtered_011.json
12,aa6c31a3b57bcfa8928119d58cdd1c04,12,0,4,4.0,1.0,graphs/n12/misr_filtered_012.json
13,bad6cfa616bf6c56a89843316e8267bd,12,0,4,4.0,1.0,graphs/n12/misr_filtered_013.json
15,06a7cf548d068ad141b6d577c70a70ea,12,0,4,4.0,1.0,graphs/n12/misr_filtered_015.json
16,8520be8a23a8800fa2a457c77cd58eb1,12,0,4,4.0,1.0,graphs/n12/misr_filtered_016.json
17,86487c963d7ba25585ac8bf9b11d8a5b,12,0,4,4.0,1.0,graphs/n12/misr_filtered_017.json
18,160d0679cdbd3cd0f6b747f84fe59f66,12,0,4,4.0,1.0,graphs/n12/misr_filtered_018.json
19,a2bce67150b01a430fc77a9eda6b82e7,12,0,4,4.0,1.0,graphs/n12/misr_filtered_019.json
21,9f9144f3160b7ae37fb48d60b560ba24,12,0,4,4.0,1.0,graphs/n12/misr_filtered_021.json
22,034a6e8ac144df832b88642864bf627e,12,0,4,4.0,1.0,graphs/n12/misr_filtered_022.json
23,b153ad3375f960988e425b2f019a9a91,12,0,4,4.0,1.0,graphs/n12/misr_filtered_023.json
24,10b1470f6bdc6bfaba6a79f38e054e9c,12,0,4,4.0,1.0,graphs/n12/misr_filtered_024.json
25,673c99f2d683912939ed71640e1a84c7,12,0,4,4.0,1.0,graphs/n12/misr_filtered_025.json
26,3761754166bba676f8a9f8e927cbe5db,12,0,4,4.0,1.0,graphs/n12/misr_filtered_026.json
27,456579a837dcd402aa59d9ff0e8c199a,12,0,4,4.0,1.0,graphs/n12/misr_filtered_027.json
28,1f2110aa8c964d656e6b131ba2f3560e,12,0,4,4.0,1.0,graphs/n12/misr_filtered_028.json
29,5cbe45c4679d894a6cdbfae7200bf2b7,12,0,4,4.0,1.0,graphs/n12/misr_filtered_029.json
30,86a6bdd2096b7d9140a91d7610ce5423,12,0,4,4.0,1.0,graphs/n12/misr_filtered_030.json
31,dfd35b8139b1c5c5aaf755dad92aa1fd,12,0,4,4.0,1.0,graphs/n12/misr_filtered_031.json
32,1bf390b2cb9560bc671532b015fc269d,12,0,4,4.0,1.0,graphs/n12/misr_filtered_032.json
33,e55367a746db176f7c5c083238792555,12,0,4,4.0,1.0,graphs/n12/misr_filtered_033.json
34,bf08c526f479dde678743041e3ac8cf3,12,0,4,4.0,1.0,graphs/n12/misr_filtered_034.json
35,f95ba2ceb0f1be418fd155f62f32ff96,12,0,4,4.0,1.0,graphs/n12/misr_filtered_035.json
36,c71d48bb54047d2e6cc7812ca54e0f05,12,0,4,4.0,1.0,graphs/n12/misr_filtered_036.json
37,551dc05a9039d29e2a9895a99aad5681,12,0,4,4.0,1.0,graphs/n12/misr_filtered_037.json
38,d3a70bd47051fb0fb03659cb44638b19,12,0,4,4.0,1.0,graphs/n12/misr_filtered_038.json
39,282c5f2a73c2f4977f3a15b50d3d2470,12,0,4,4.0,1.0,graphs/n12/misr_filtered_039.json
40,49d6e79e8c6a41a7fc0b2e6fdd16e7bb,12,0,4,4.0,1.0,graphs/n12/misr_filtered_040.json
41,f77505ee0ef8ece4ede6525436d6467d,12,0,4,4.0,1.0,graphs/n12/misr_filtered_041.json
